CustomerOrderID,CustomerID,OrderTakerID,OrderDate,CouponID
1,142,29,2025-10-07,2
2,20,13,2025-08-14,NULL
3,31,18,2025-06-18,NULL
4,122,7,2025-08-10,NULL
5,34,7,2025-04-09,13
6,124,1,2025-06-23,NULL
7,19,5,2025-07-30,NULL
8,64,29,2025-08-20,NULL
9,31,25,2025-08-04,NULL
10,192,18,2025-05-24,1
11,4,50,2025-07-21,8
12,197,23,2025-04-10,11
13,140,43,2025-07-22,NULL
14,82,39,2025-06-15,NULL
15,53,43,2025-08-01,NULL
16,183,2,2025-05-02,NULL
17,52,13,2025-09-20,NULL
18,114,17,2025-09-04,NULL
19,91,49,2025-08-18,NULL
20,131,48,2025-07-02,7
21,165,11,2025-05-07,6
22,130,17,2025-07-04,NULL
23,6,18,2025-09-10,10
24,19,38,2025-09-29,NULL
25,5,38,2025-06-30,NULL
26,194,32,2025-06-04,NULL
27,187,25,2025-09-10,1
28,167,1,2025-04-09,NULL
29,152,31,2025-05-01,6
30,131,18,2025-05-28,NULL
31,51,1,2025-06-25,12
32,109,33,2025-04-09,NULL
33,18,30,2025-07-05,NULL
34,99,4,2025-05-24,NULL
35,3,29,2025-10-01,NULL
36,82,48,2025-07-07,1
37,150,33,2025-07-25,4
38,167,20,2025-08-17,13
39,44,44,2025-07-02,14
40,92,45,2025-09-17,NULL
41,22,35,2025-09-27,5
42,190,6,2025-04-21,NULL
43,34,28,2025-06-22,NULL
44,1,4,2025-07-16,NULL
45,131,17,2025-05-30,NULL
46,66,5,2025-07-17,NULL
47,14,49,2025-09-05,NULL
48,49,28,2025-08-28,NULL
49,45,17,2025-05-31,9
50,18,13,2025-04-20,NULL
51,185,48,2025-05-07,2
52,6,12,2025-09-25,NULL
53,13,29,2025-06-22,NULL
54,170,17,2025-06-14,NULL
55,159,33,2025-07-05,NULL
56,72,17,2025-09-28,NULL
57,11,21,2025-07-22,NULL
58,86,39,2025-07-15,NULL
59,175,49,2025-05-27,11
60,1,44,2025-07-11,NULL
61,47,25,2025-06-22,4
62,116,14,2025-08-11,6
63,44,25,2025-05-12,NULL
64,188,3,2025-08-30,14
65,117,13,2025-05-25,NULL
66,183,17,2025-08-24,NULL
67,105,11,2025-05-17,NULL
68,101,46,2025-08-27,NULL
69,73,3,2025-07-22,NULL
70,153,38,2025-06-10,2
71,4,23,2025-08-09,NULL
72,129,34,2025-10-04,NULL
73,109,25,2025-04-13,11
74,35,38,2025-09-28,NULL
75,167,29,2025-08-13,NULL
76,180,32,2025-07-27,NULL
77,149,17,2025-08-11,NULL
78,153,22,2025-06-29,NULL
79,81,5,2025-08-11,6
80,30,44,2025-04-13,NULL
81,127,13,2025-04-25,NULL
82,180,24,2025-10-06,6
83,76,26,2025-06-17,NULL
84,141,45,2025-04-13,NULL
85,140,13,2025-06-07,NULL
86,82,32,2025-04-19,NULL
87,164,14,2025-05-01,12
88,32,30,2025-08-22,NULL
89,21,36,2025-10-02,NULL
90,84,49,2025-05-16,NULL
91,85,45,2025-07-12,NULL
92,103,21,2025-05-05,NULL
93,170,32,2025-10-01,NULL
94,16,14,2025-06-18,5
95,85,38,2025-08-17,NULL
96,136,11,2025-08-01,NULL
97,17,26,2025-06-17,12
98,128,21,2025-08-05,14
99,7,7,2025-09-08,NULL
100,63,14,2025-04-25,NULL
101,195,5,2025-09-02,NULL
102,47,35,2025-08-03,4
103,75,2,2025-06-22,15
104,45,25,2025-09-01,6
105,154,3,2025-08-27,NULL
106,120,4,2025-04-28,5
107,64,5,2025-08-07,NULL
108,76,24,2025-09-16,7
109,200,31,2025-08-02,NULL
110,130,29,2025-08-15,NULL
111,36,3,2025-09-21,NULL
112,108,34,2025-04-18,NULL
113,17,43,2025-06-05,NULL
114,41,23,2025-08-16,12
115,198,7,2025-06-23,NULL
116,17,42,2025-06-01,NULL
117,26,22,2025-07-30,NULL
118,199,46,2025-04-27,15
119,3,18,2025-06-18,NULL
120,142,29,2025-09-12,NULL
121,79,19,2025-09-23,NULL
122,92,3,2025-06-20,4
123,156,24,2025-08-15,NULL
124,31,24,2025-06-17,NULL
125,82,25,2025-04-13,NULL
126,50,38,2025-07-26,13
127,105,10,2025-10-02,12
128,164,20,2025-04-14,NULL
129,76,19,2025-04-24,15
130,94,7,2025-05-31,4
131,26,48,2025-09-11,7
132,175,32,2025-05-10,NULL
133,38,34,2025-04-08,NULL
134,170,28,2025-06-24,14
135,86,48,2025-06-12,NULL
136,48,2,2025-08-01,NULL
137,110,26,2025-08-12,1
138,76,4,2025-06-19,NULL
139,158,47,2025-09-13,NULL
140,63,44,2025-06-27,NULL
141,166,29,2025-08-30,NULL
142,182,28,2025-05-12,8
143,136,34,2025-10-05,NULL
144,174,19,2025-07-01,NULL
145,170,46,2025-07-09,1
146,168,48,2025-06-25,13
147,165,28,2025-06-28,12
148,158,19,2025-07-02,9
149,130,12,2025-08-17,NULL
150,52,7,2025-07-04,6
151,69,32,2025-08-23,NULL
152,61,34,2025-04-08,NULL
153,33,29,2025-09-26,NULL
154,156,47,2025-07-05,NULL
155,188,3,2025-07-15,NULL
156,24,11,2025-08-19,NULL
157,55,10,2025-06-02,NULL
158,68,4,2025-10-05,NULL
159,132,5,2025-09-19,NULL
160,91,34,2025-04-13,NULL
161,90,18,2025-08-24,NULL
162,98,20,2025-05-31,NULL
163,178,48,2025-06-18,NULL
164,87,31,2025-07-26,12
165,75,34,2025-05-23,14
166,49,5,2025-09-20,NULL
167,13,23,2025-05-20,11
168,179,46,2025-04-17,4
169,2,39,2025-08-14,NULL
170,143,50,2025-05-26,NULL
171,27,19,2025-09-13,10
172,16,42,2025-10-07,NULL
173,6,3,2025-08-10,NULL
174,175,16,2025-08-13,NULL
175,47,9,2025-09-21,NULL
176,181,32,2025-10-04,NULL
177,91,34,2025-05-25,NULL
178,164,49,2025-09-10,NULL
179,152,11,2025-09-22,NULL
180,22,2,2025-05-07,4
181,71,31,2025-09-29,NULL
182,152,20,2025-04-08,NULL
183,4,25,2025-09-09,NULL
184,55,20,2025-08-07,NULL
185,82,13,2025-07-09,NULL
186,47,48,2025-07-09,4
187,138,18,2025-08-07,11
188,192,32,2025-07-12,12
189,170,30,2025-07-17,15
190,49,11,2025-06-29,6
191,7,13,2025-07-16,NULL
192,112,12,2025-06-22,NULL
193,39,5,2025-08-16,NULL
194,139,47,2025-04-09,NULL
195,80,20,2025-07-10,NULL
196,23,14,2025-09-28,8
197,163,22,2025-09-29,NULL
198,81,4,2025-08-28,NULL
199,1,13,2025-06-25,NULL
200,146,19,2025-08-09,NULL
201,71,24,2025-05-13,3
202,78,4,2025-06-16,NULL
203,52,39,2025-08-15,NULL
204,21,14,2025-05-25,NULL
205,75,21,2025-09-03,NULL
206,142,33,2025-08-08,NULL
207,25,21,2025-06-30,NULL
208,53,35,2025-08-09,NULL
209,4,31,2025-05-20,NULL
210,81,28,2025-04-08,5
211,173,32,2025-10-03,NULL
212,111,21,2025-04-14,3
213,77,32,2025-06-19,NULL
214,49,17,2025-09-05,NULL
215,133,49,2025-07-17,9
216,126,3,2025-05-14,NULL
217,135,50,2025-09-21,NULL
218,107,49,2025-07-17,NULL
219,150,20,2025-04-11,NULL
220,172,13,2025-06-14,11
221,155,14,2025-09-23,3
222,105,36,2025-08-16,NULL
223,117,17,2025-07-13,NULL
224,165,43,2025-09-12,NULL
225,178,2,2025-08-01,NULL
226,68,31,2025-06-25,NULL
227,139,16,2025-04-22,NULL
228,82,29,2025-09-02,NULL
229,182,31,2025-09-18,NULL
230,31,50,2025-08-08,NULL
231,49,18,2025-05-20,NULL
232,86,9,2025-06-12,NULL
233,145,8,2025-05-14,NULL
234,65,35,2025-07-28,10
235,14,17,2025-09-27,NULL
236,198,38,2025-08-10,1
237,163,46,2025-06-25,NULL
238,49,48,2025-06-14,6
239,197,19,2025-07-19,6
240,131,14,2025-09-19,NULL
241,132,7,2025-04-09,NULL
242,52,1,2025-09-25,6
243,124,45,2025-04-12,NULL
244,106,11,2025-04-16,NULL
245,152,31,2025-08-09,NULL
246,86,29,2025-07-06,8
247,61,26,2025-09-25,NULL
248,106,23,2025-06-02,NULL
249,24,31,2025-08-17,10
250,111,39,2025-08-09,7
251,147,23,2025-08-28,NULL
252,12,38,2025-04-22,10
253,183,25,2025-06-07,NULL
254,8,20,2025-05-03,NULL
255,141,24,2025-07-16,NULL
256,169,42,2025-06-20,1
257,150,2,2025-07-02,8
258,196,13,2025-04-30,NULL
259,79,18,2025-09-18,NULL
260,110,13,2025-08-27,NULL
261,193,28,2025-05-19,5
262,128,47,2025-07-30,5
263,26,44,2025-07-24,NULL
264,107,47,2025-07-06,7
265,157,32,2025-09-13,NULL
266,145,39,2025-07-02,NULL
267,32,16,2025-08-11,NULL
268,21,28,2025-06-27,3
269,68,47,2025-06-20,NULL
270,35,34,2025-04-30,NULL
271,49,3,2025-07-20,NULL
272,9,45,2025-04-11,12
273,134,20,2025-09-24,NULL
274,54,49,2025-07-25,NULL
275,122,22,2025-08-10,2
276,112,33,2025-07-03,NULL
277,164,19,2025-09-09,NULL
278,28,50,2025-05-12,8
279,176,26,2025-09-27,NULL
280,166,35,2025-07-21,1
281,164,2,2025-09-01,NULL
282,53,9,2025-09-07,NULL
283,141,12,2025-09-22,NULL
284,134,13,2025-06-18,6
285,100,21,2025-06-06,NULL
286,152,31,2025-07-26,5
287,31,19,2025-08-22,5
288,73,43,2025-06-24,NULL
289,64,39,2025-09-24,8
290,178,50,2025-04-20,NULL
291,111,46,2025-04-18,3
292,81,49,2025-06-30,3
293,141,46,2025-07-23,10
294,49,3,2025-05-21,NULL
295,167,6,2025-08-04,NULL
296,18,47,2025-10-04,NULL
297,131,28,2025-05-14,NULL
298,50,26,2025-06-21,NULL
299,10,20,2025-06-09,NULL
300,100,39,2025-10-07,NULL
301,166,11,2025-09-02,8
302,159,42,2025-06-29,NULL
303,116,42,2025-10-03,12
304,83,49,2025-07-22,NULL
305,176,43,2025-08-22,NULL
306,154,21,2025-09-21,NULL
307,192,20,2025-05-10,NULL
308,98,34,2025-06-22,NULL
309,51,11,2025-05-23,NULL
310,35,19,2025-06-20,NULL
311,78,11,2025-06-10,NULL
312,87,35,2025-09-03,NULL
313,73,36,2025-05-24,11
314,166,6,2025-04-14,3
315,124,9,2025-04-12,14
316,10,6,2025-05-16,15
317,89,5,2025-07-12,NULL
318,198,4,2025-05-28,NULL
319,107,44,2025-09-02,NULL
320,160,45,2025-09-09,NULL
321,51,3,2025-04-20,8
322,189,11,2025-06-25,NULL
323,86,44,2025-04-22,2
324,96,10,2025-07-05,10
325,148,4,2025-05-22,10
326,62,36,2025-07-15,12
327,94,36,2025-06-08,14
328,198,19,2025-04-18,7
329,104,46,2025-09-06,5
330,146,35,2025-05-17,3
331,58,20,2025-04-12,NULL
332,35,35,2025-09-17,NULL
333,137,7,2025-06-11,8
334,166,25,2025-04-22,NULL
335,188,44,2025-08-28,6
336,119,10,2025-06-20,NULL
337,19,33,2025-06-23,2
338,82,11,2025-08-20,NULL
339,91,14,2025-06-19,NULL
340,51,5,2025-08-26,11
341,128,20,2025-07-04,NULL
342,190,38,2025-05-06,NULL
343,162,21,2025-10-06,NULL
344,115,50,2025-08-16,12
345,69,47,2025-05-20,NULL
346,155,43,2025-08-16,NULL
347,135,7,2025-06-10,NULL
348,177,43,2025-09-11,NULL
349,74,13,2025-09-19,NULL
350,57,10,2025-04-24,NULL
351,165,45,2025-05-12,15
352,158,50,2025-09-03,11
353,141,23,2025-04-18,NULL
354,179,45,2025-04-16,6
355,90,17,2025-07-04,NULL
356,49,18,2025-07-13,7
357,21,18,2025-05-21,NULL
358,20,22,2025-05-03,NULL
359,16,26,2025-09-30,2
360,198,34,2025-08-09,NULL
361,86,23,2025-04-21,7
362,31,14,2025-08-20,12
363,155,13,2025-05-10,NULL
364,14,23,2025-08-06,15
365,25,47,2025-08-28,8
366,46,14,2025-05-13,8
367,76,8,2025-05-08,4
368,8,12,2025-08-31,NULL
369,11,25,2025-04-09,NULL
370,54,45,2025-04-27,NULL
371,20,9,2025-05-26,13
372,140,22,2025-08-13,13
373,111,26,2025-05-24,NULL
374,58,19,2025-06-15,5
375,65,13,2025-09-27,NULL
376,40,10,2025-07-09,NULL
377,66,4,2025-04-09,NULL
378,60,19,2025-06-22,3
379,4,28,2025-06-05,NULL
380,138,35,2025-09-01,1
381,146,44,2025-04-20,NULL
382,52,23,2025-10-03,7
383,48,1,2025-07-07,5
384,192,33,2025-09-05,NULL
385,77,13,2025-06-29,NULL
386,164,25,2025-06-27,14
387,187,30,2025-10-05,NULL
388,95,46,2025-06-15,15
389,127,3,2025-09-14,5
390,19,50,2025-07-12,7
391,171,11,2025-05-12,13
392,9,1,2025-07-04,2
393,138,43,2025-05-22,NULL
394,11,10,2025-06-02,NULL
395,13,23,2025-09-25,12
396,180,39,2025-05-04,NULL
397,32,20,2025-08-06,14
398,66,17,2025-08-26,6
399,3,43,2025-04-28,NULL
400,123,19,2025-05-19,7
401,192,20,2025-10-01,NULL
402,105,47,2025-05-18,NULL
403,89,26,2025-08-14,6
404,121,1,2025-05-09,9
405,3,50,2025-09-19,12
406,38,48,2025-08-05,NULL
407,3,18,2025-07-02,NULL
408,93,24,2025-08-20,NULL
409,8,36,2025-10-05,NULL
410,14,6,2025-05-08,NULL
411,105,1,2025-07-27,1
412,194,11,2025-09-21,NULL
413,143,12,2025-09-14,NULL
414,127,25,2025-06-14,2
415,191,2,2025-09-06,NULL
416,20,11,2025-06-19,NULL
417,159,6,2025-06-20,NULL
418,13,9,2025-04-26,NULL
419,193,43,2025-05-23,1
420,77,34,2025-07-25,13
421,169,4,2025-06-27,6
422,56,16,2025-07-05,NULL
423,114,47,2025-05-14,11
424,27,31,2025-09-17,9
425,65,3,2025-07-03,NULL
426,114,39,2025-09-28,4
427,69,43,2025-08-09,9
428,161,22,2025-05-25,11
429,197,48,2025-08-28,2
430,71,38,2025-05-17,NULL
431,154,19,2025-09-09,5
432,136,29,2025-08-29,6
433,200,12,2025-04-14,2
434,63,14,2025-05-04,NULL
435,13,13,2025-04-21,NULL
436,147,11,2025-06-03,NULL
437,51,7,2025-06-02,NULL
438,127,29,2025-06-12,NULL
439,60,9,2025-06-19,12
440,163,42,2025-08-05,NULL
441,181,28,2025-07-02,NULL
442,1,48,2025-06-23,NULL
443,146,28,2025-05-05,15
444,150,18,2025-07-16,8
445,20,33,2025-08-01,13
446,124,32,2025-08-12,NULL
447,68,34,2025-06-25,2
448,105,42,2025-09-25,NULL
449,142,42,2025-06-29,11
450,126,6,2025-04-29,NULL
451,118,5,2025-09-03,10
452,28,2,2025-09-13,NULL
453,41,13,2025-09-17,13
454,119,26,2025-09-12,NULL
455,172,14,2025-07-03,NULL
456,150,18,2025-05-01,10
457,75,25,2025-07-08,NULL
458,177,42,2025-07-26,1
459,54,14,2025-07-20,10
460,136,5,2025-05-07,NULL
461,199,43,2025-04-11,1
462,114,45,2025-09-13,NULL
463,167,10,2025-08-15,10
464,69,4,2025-04-26,11
465,27,10,2025-08-22,1
466,118,49,2025-08-27,NULL
467,101,22,2025-09-02,8
468,127,17,2025-05-18,NULL
469,115,50,2025-09-22,NULL
470,88,13,2025-09-08,NULL
471,178,31,2025-10-07,NULL
472,79,22,2025-09-23,NULL
473,12,5,2025-09-21,NULL
474,72,5,2025-06-27,NULL
475,121,21,2025-06-11,3
476,69,24,2025-08-16,NULL
477,25,32,2025-09-08,6
478,168,6,2025-10-07,7
479,81,12,2025-08-24,NULL
480,20,44,2025-05-18,NULL
481,103,26,2025-09-27,NULL
482,126,44,2025-04-15,NULL
483,33,30,2025-04-11,NULL
484,50,36,2025-05-05,NULL
485,89,18,2025-05-08,NULL
486,136,19,2025-09-10,NULL
487,10,14,2025-04-09,NULL
488,117,19,2025-08-25,NULL
489,83,33,2025-09-24,NULL
490,175,7,2025-04-20,NULL
491,137,35,2025-04-25,NULL
492,15,48,2025-08-04,4
493,5,47,2025-10-05,9
494,20,28,2025-05-20,12
495,145,49,2025-07-07,NULL
496,43,42,2025-05-19,NULL
497,61,29,2025-04-21,1
498,12,43,2025-09-25,7
499,135,19,2025-06-30,NULL
500,74,17,2025-04-26,1
501,54,30,2025-06-29,NULL
502,189,9,2025-07-22,NULL
503,126,31,2025-10-05,14
504,76,13,2025-05-10,NULL
505,169,38,2025-04-10,NULL
506,140,42,2025-07-11,NULL
507,101,31,2025-04-25,NULL
508,79,1,2025-06-19,NULL
509,73,19,2025-05-03,10
510,48,22,2025-09-18,NULL
511,66,23,2025-09-02,NULL
512,60,29,2025-06-03,NULL
513,157,9,2025-04-21,NULL
514,75,33,2025-04-28,NULL
515,137,2,2025-05-19,NULL
516,51,49,2025-06-30,NULL
517,67,26,2025-06-23,5
518,183,36,2025-08-19,15
519,76,46,2025-05-20,NULL
520,74,47,2025-05-12,NULL
521,108,20,2025-07-26,15
522,196,23,2025-08-06,NULL
523,22,2,2025-05-18,12
524,24,7,2025-06-24,NULL
525,96,13,2025-05-20,NULL
526,136,4,2025-09-14,8
527,48,20,2025-04-08,NULL
528,151,2,2025-08-10,NULL
529,29,46,2025-09-03,3
530,81,48,2025-10-07,NULL
531,157,1,2025-09-13,NULL
532,198,39,2025-07-19,NULL
533,188,36,2025-07-03,10
534,84,29,2025-06-22,13
535,58,49,2025-05-31,NULL
536,66,4,2025-09-25,NULL
537,24,19,2025-07-05,13
538,86,35,2025-07-07,NULL
539,159,5,2025-09-15,NULL
540,113,50,2025-04-26,3
541,194,13,2025-09-19,NULL
542,116,5,2025-05-29,13
543,165,24,2025-07-23,NULL
544,120,22,2025-05-01,NULL
545,141,47,2025-05-27,NULL
546,199,17,2025-08-22,11
547,129,13,2025-08-13,NULL
548,110,50,2025-09-03,1
549,141,50,2025-04-10,6
550,132,6,2025-06-24,NULL
551,33,30,2025-07-13,NULL
552,130,2,2025-09-13,15
553,63,24,2025-09-19,13
554,18,38,2025-06-07,NULL
555,18,34,2025-05-16,10
556,160,4,2025-09-12,NULL
557,58,39,2025-06-11,12
558,6,44,2025-09-20,NULL
559,139,10,2025-05-18,4
560,27,19,2025-07-20,8
561,43,2,2025-04-30,NULL
562,108,7,2025-09-18,NULL
563,121,32,2025-10-05,1
564,24,31,2025-05-16,NULL
565,194,23,2025-07-11,NULL
566,148,25,2025-07-30,NULL
567,52,31,2025-05-19,NULL
568,198,49,2025-05-03,NULL
569,163,16,2025-04-23,NULL
570,179,19,2025-08-19,14
571,37,21,2025-09-11,NULL
572,157,9,2025-06-18,NULL
573,13,35,2025-07-14,NULL
574,109,6,2025-08-03,NULL
575,60,43,2025-09-14,3
576,156,4,2025-07-23,NULL
577,149,26,2025-09-10,NULL
578,21,30,2025-06-11,NULL
579,98,17,2025-05-25,4
580,23,31,2025-08-27,NULL
581,200,32,2025-06-02,NULL
582,37,26,2025-04-20,14
583,14,50,2025-04-17,NULL
584,14,47,2025-08-16,NULL
585,53,43,2025-04-12,NULL
586,22,18,2025-07-02,12
587,94,11,2025-08-06,2
588,48,49,2025-07-23,NULL
589,37,1,2025-07-05,NULL
590,179,2,2025-09-03,8
591,167,42,2025-05-30,3
592,54,33,2025-09-26,4
593,88,43,2025-05-11,NULL
594,48,24,2025-08-03,12
595,63,18,2025-05-19,NULL
596,6,47,2025-06-13,4
597,88,34,2025-10-02,NULL
598,141,34,2025-08-30,NULL
599,28,11,2025-09-21,1
600,83,2,2025-09-23,NULL
